country,income_per_capita_2011,life_expectancy_2016,population_2015,four_regions
Afghanistan,1660.0,58.0,3.37E7,asia
Albania,10200.0,77.7,2920000.0,europe
Algeria,13000.0,77.4,3.99E7,africa
Andorra,42000.0,82.5,78000.0,europe
Angola,5910.0,64.7,2.79E7,africa
Antigua and Barbuda,18600.0,77.3,99900.0,americas
Argentina,19600.0,76.7,4.34E7,americas
Armenia,7020.0,75.7,2920000.0,europe
Australia,41800.0,82.5,2.38E7,asia
Austria,44200.0,81.5,8680000.0,europe
Azerbaijan,15800.0,72.1,9620000.0,europe
Bahamas,22700.0,73.8,387000.0,americas
Bahrain,40700.0,76.9,1370000.0,asia
Bangladesh,2570.0,72.8,1.61E8,asia
Barbados,15400.0,76.5,284000.0,americas
Belarus,17200.0,73.5,9490000.0,europe
Belgium,41200.0,80.9,1.13E7,europe
Belize,7860.0,72.0,359000.0,americas
Benin,1820.0,64.4,1.06E7,africa
Bhutan,6810.0,74.1,787000.0,asia
Bolivia,5600.0,73.3,1.07E7,americas
Bosnia and Herzegovina,9890.0,77.6,3540000.0,europe
Botswana,13900.0,65.5,2210000.0,africa
Brazil,15000.0,75.3,2.06E8,americas
Brunei,82400.0,77.0,418000.0,asia
Bulgaria,15700.0,75.1,7180000.0,europe
Burkina Faso,1470.0,60.8,1.81E7,africa
Burundi,772.0,60.4,1.02E7,africa
Cambodia,2660.0,68.7,1.55E7,asia
Cameroon,2690.0,60.2,2.28E7,africa
Canada,41600.0,81.8,3.59E7,americas
Cape Verde,5990.0,73.7,533000.0,africa
Central African Republic,912.0,50.3,4550000.0,africa
Chad,1860.0,59.8,1.4E7,africa
Chile,20400.0,80.2,1.78E7,americas
China,10400.0,76.6,1.4E9,asia
Colombia,11500.0,78.2,4.82E7,americas
Comoros,1420.0,67.6,777000.0,africa
"Congo, Dem. Rep.",630.0,61.6,7.62E7,africa
"Congo, Rep.",5210.0,63.0,5000000.0,africa
Costa Rica,13400.0,81.0,4810000.0,americas
Cote d'Ivoire,2510.0,60.0,2.31E7,africa
Croatia,20700.0,77.3,4240000.0,europe
Cuba,18800.0,79.0,1.15E7,americas
Cyprus,33200.0,80.5,1160000.0,europe
Czech Republic,28800.0,79.1,1.06E7,europe
Denmark,44400.0,80.8,5690000.0,europe
